Wind Speed (m/s),Power Output (kW),performance (%)
0,0,0.00
0.5,0,0.00
1,0,0.00
1.5,0,0.00
2,0,0.00
2.5,0,0.00
3,0,0.00
3.5,35,0.01
4,80,0.02
4.5,155,0.04
5,238,0.07
5.5,350,0.10
6,474,0.13
6.5,630,0.18
7,802,0.22
7.5,1018,0.28
8,1234,0.34
8.5,1504,0.42
9,1773,0.49
9.5,2076,0.58
10,2379,0.66
10.5,2664,0.74
11,2948,0.82
11.5,3141,0.87
12,3334,0.93
12.5,3425,0.95
13,3515,0.98
13.5,3546,0.99
14,3577,0.99
14.5,3586,1.00
15,3594,1.00
15.5,3598,1.00
16,3599,1.00
16.5,3600,1.00
17,3600,1.00
17.5,3600,1.00
18,3600,1.00
18.5,3600,1.00
19,3600,1.00
19.5,3600,1.00
20,3600,1.00
20.5,3600,1.00
21,3600,1.00
21.5,3600,1.00
22,3600,1.00
22.5,3600,1.00
23,3600,1.00
23.5,3600,1.00
24,3600,1.00
24.5,3600,1.00
25,3600,1.00
25.5,0,0.00
26,0,0.00
26.5,0,0.00
27,0,0.00
27.5,0,0.00
28,0,0.00
28.5,0,0.00
29,0,0.00
29.5,0,0.00
30,0,0.00
30.5,0,0.00
31,0,0.00
31.5,0,0.00
32,0,0.00
32.5,0,0.00
33,0,0.00
33.5,0,0.00
34,0,0.00
34.5,0,0.00
35,0,0.00
35.5,0,0.00
